OUTPUT:

Vasicek optimized parameters: a = 0.0018759731562042567, b = 2.5811470673215773, sigma = 0.056765551548106426
CIR optimized parameters: a = 0.0018759731562042418, b = 2.581146487427231, sigma = 0.05676555154810597

      Date  Actual_IR  Predicted_IR_Vasicek  Predicted_IR_CIR  Vasicek_volatility  CIR_volatility
2022-05-19       2.84              0.886244          1.384026            1.953756        1.455974
2022-05-20       2.78              0.917599          1.485991            1.862401        1.294009
2022-05-23       2.86              0.900594          1.538625            1.959406        1.321375
2022-05-24       2.76              0.972403          1.596254            1.787597        1.163746
2022-05-25       2.75              0.902478          1.587740            1.847522        1.162260
2022-05-26       2.75              0.893114          1.592987            1.856886        1.157013
2022-05-27       2.74              0.790883          1.514070            1.949117        1.225930
2022-05-31       2.85              0.739442          1.501918            2.110558        1.348082
2022-06-01       2.94              0.837140          1.622390            2.102860        1.317610
2022-06-02       2.92              0.885590          1.627408            2.034410        1.292592
2022-06-03       2.96              0.877064          1.621381            2.082936        1.338619
2022-06-06       3.04              0.879327          1.610752            2.160673        1.429248
2022-06-07       2.98              0.906023          1.607558            2.073977        1.372442
2022-06-08       3.03              0.975394          1.694579            2.054606        1.335421
2022-06-09       3.04              1.013332          1.826424            2.026668        1.213576
2022-06-10       3.15              0.996887          1.745732            2.153113        1.404268
2022-06-13       3.43              1.020476          1.769238            2.409524        1.660762
2022-06-14       3.49              0.969875          1.674677            2.520125        1.815323
2022-06-15       3.33              0.997542          1.784200            2.332458        1.545800
2022-06-16       3.28              0.966202          1.750783            2.313798        1.529217
2022-06-17       3.25              0.931449          1.726663            2.318551        1.523337
2022-06-21       3.31              1.031699          1.733576            2.278301        1.576424
2022-06-22       3.16              1.048328          1.803811            2.111672        1.356189
2022-06-23       3.09              1.096231          1.685942            1.993769        1.404058
2022-06-24       3.13              1.144779          1.645006            1.985221        1.484994
2022-06-27       3.20              1.183736          1.768430            2.016264        1.431570
2022-06-28       3.20              1.089493          1.750708            2.110507        1.449292
2022-06-29       3.10              1.154994          1.736055            1.945006        1.363945
2022-06-30       2.98              1.134497          1.749966            1.845503        1.230034
2022-07-01       2.88              1.115233          1.721258            1.764767        1.158742
2022-07-05       2.82              1.133836          1.664954            1.686164        1.155046
2022-07-06       2.93              1.085911          1.668115            1.844089        1.261885
2022-07-07       3.01              1.094838          1.658419            1.915162        1.351581
2022-07-08       3.09              1.179310          1.657180            1.910690        1.432820
